Country Name,Country Code,2022,2023
Aruba,ABW,3544707788,
Africa Eastern and Southern,AFE,1.18396E+12,1.23616E+12
Afghanistan,AFG,14502158192,
Africa Western and Central,AFW,8.77141E+11,7.96586E+11
Angola,AGO,1.044E+11,84722957642
Albania,ALB,18916378861,22977677861
Andorra,AND,3380602043,3727673593
Arab World,ARB,3.61368E+12,3.49152E+12
United Arab Emirates,ARE,5.07064E+11,5.04173E+11
Argentina,ARG,6.31133E+11,6.40591E+11
Armenia,ARM,19513474648,24212134631
American Samoa,ASM,871000000,
Antigua and Barbuda,ATG,1867733333,2033085185
Australia,AUS,1.69296E+12,1.72383E+12
Austria,AUT,4.70942E+11,5.16034E+11
Azerbaijan,AZE,78807470588,72356176471
Burundi,BDI,3338722828,2642161669
Belgium,BEL,5.83614E+11,6.32217E+11
Benin,BEN,17425418044,19673284686
Burkina Faso,BFA,18820219331,20324617839
Bangladesh,BGD,4.60132E+11,4.37415E+11
Bulgaria,BGR,90346169915,1.01584E+11
Bahrain,BHR,44383297872,43205000000
"Bahamas, The",BHS,13136400000,14338500000
Bosnia and Herzegovina,BIH,24534663636,27054889363
Belarus,BLR,73775179925,71857382746
Belize,BLZ,2830507576,3281500000
Bermuda,BMU,7827980000,
Bolivia,BOL,44008282880,45849832906
Brazil,BRA,1.95192E+12,2.17367E+12
Barbados,BRB,5840673700,6393564190
Brunei Darussalam,BRN,16681536467,15128292954
Bhutan,BTN,2898227713,
Botswana,BWA,20321958850,19395765126
Central African Republic,CAF,2382618615,2555492085
Canada,CAN,2.16148E+12,2.14009E+12
Central Europe and the Baltics,CEB,1.94358E+12,2.25297E+12
Switzerland,CHE,8.18427E+11,8.8494E+11
Channel Islands,CHI,11228317319,
Chile,CHL,3.02117E+11,3.35533E+11
China,CHN,1.78818E+13,1.77948E+13
Cote d'Ivoire,CIV,70173140101,78788828907
Cameroon,CMR,43644068311,47945510090
"Congo, Dem. Rep.",COD,65801547620,66383287003
"Congo, Rep.",COG,15817030157,15321055818
Colombia,COL,3.4533E+11,3.6354E+11
Comoros,COM,1242519408,1352380972
Cabo Verde,CPV,2303738020,2587252076
Costa Rica,CRI,69243626029,86497941439
Caribbean small states,CSS,48138054139,53252637670
